PM25,timestamp
20,01:18:10
16,01:18:15
13,01:18:20
10,01:18:25
11,01:18:30
12,01:18:35
17,01:18:40
21,01:18:45
23,01:18:50
21,01:18:55
18,01:19:00
16,01:19:05
14,01:19:10
13,01:19:15
12,01:19:20
13,01:19:25
10,01:19:30
8,01:19:35
9,01:19:40
9,01:19:45
8,01:19:50
7,01:19:55
7,01:20:00
7,01:20:05
8,01:20:10
9,01:20:15
9,01:20:20
8,01:20:25
8,01:20:30
7,01:20:35
7,01:20:40
7,01:20:45
7,01:20:50
7,01:20:55
6,01:21:00
7,01:21:05
7,01:21:10
7,01:21:15
7,01:21:20
5,01:21:25
5,01:21:30
5,01:21:35
5,01:21:40
6,01:21:45
8,01:21:50
9,01:21:55
10,01:22:00
12,01:22:05
13,01:22:10
13,01:22:15
13,01:22:20
10,01:22:25
7,01:22:30
6,01:22:35
5,01:22:40
5,01:22:45
6,01:22:50
4,01:22:55
5,01:23:00
6,01:23:05
8,01:23:10
8,01:23:15
10,01:23:20
9,01:23:25
9,01:23:30
9,01:23:35
8,01:23:40
8,01:23:45
8,01:23:50
7,01:23:55
8,01:24:00
6,01:24:05
8,01:24:10
11,01:24:15
51,01:24:20
69,01:24:25
45,01:24:30
39,01:24:35
37,01:24:40
31,01:24:45
25,01:24:50
24,01:24:55
20,01:25:00
26,01:25:05
35,01:25:10
39,01:25:15
40,01:25:20
32,01:25:25
28,01:25:30
25,01:25:35
27,01:25:40
23,01:25:45
24,01:25:50
22,01:25:55
18,01:26:00
17,01:26:05
16,01:26:10
15,01:26:15
14,01:26:20
12,01:26:25
9,01:26:30
9,01:26:35
9,01:26:40
8,01:26:45
9,01:26:50
11,01:26:55
12,01:27:00
14,01:27:05
13,01:27:10
15,01:27:15
13,01:27:20
13,01:27:25
13,01:27:30
13,01:27:35
15,01:27:40
16,01:27:45
21,01:27:50
20,01:27:55
18,01:28:00
20,01:28:05
19,01:28:10
19,01:28:15
19,01:28:20
17,01:28:25
17,01:28:30
17,01:28:35
15,01:28:40
13,01:28:45
11,01:28:50
10,01:28:55
9,01:29:00
11,01:29:05
11,01:29:10
14,01:29:15
16,01:29:20
20,01:29:25
19,01:29:30
17,01:29:35
17,01:29:40
16,01:29:45
16,01:29:50
14,01:29:55
15,01:30:00
12,01:30:05
16,01:30:10
18,01:30:15
20,01:30:20
22,01:30:25
19,01:30:30
20,01:30:35
22,01:30:40
24,01:30:45
26,01:30:50
27,01:30:55
26,01:31:00
23,01:31:05
21,01:31:10
17,01:31:15
17,01:31:20
14,01:31:25
17,01:31:30
16,01:31:35
15,01:31:40
14,01:31:45
12,01:31:50
14,01:31:55
10,01:32:00
9,01:32:05
8,01:32:10
8,01:32:15
8,01:32:20
7,01:32:25
5,01:32:30
5,01:32:35
6,01:32:40
6,01:32:45
6,01:32:50
6,01:32:55
6,01:33:00
5,01:33:05
